iter	Logloss	Accuracy
169	0.3755369485	0.8407226425
170	0.3752158014	0.8407736766
171	0.3749342072	0.8410160885
172	0.3746667963	0.8411053981
173	0.3744013487	0.8412967759
174	0.3741103318	0.8414753952
175	0.3738209754	0.8416284974
176	0.3735747622	0.8417050485
177	0.3732422191	0.8420622871
178	0.372909555	0.8421388382
179	0.3726135909	0.8422409064
180	0.3723696613	0.8425471108
181	0.3720429202	0.8426364205
182	0.3717517357	0.8426364205
183	0.3715494589	0.8427129716
184	0.3713377876	0.8427895227
185	0.3710468831	0.8430064175
186	0.3707923884	0.8429298664
187	0.3704850821	0.8432488294
188	0.3702828773	0.8433891731
189	0.3699888185	0.843606068
190	0.3697209084	0.8437464117
191	0.3695424132	0.8438739969
192	0.369306216	0.8441164087
193	0.3690266449	0.8442822695
194	0.3688413493	0.8445246814
195	0.3686009479	0.8444736473
196	0.3683779822	0.8447033006
197	0.3681820433	0.8447415762
198	0.3678838409	0.8449457125
199	0.3676482716	0.8448691614
200	0.3674009426	0.8448819199
201	0.3671807765	0.8449839881
202	0.3669238564	0.8451115733
203	0.3667004569	0.8453157096
204	0.3665234039	0.8452008829
205	0.3663044492	0.8453922607
206	0.3660751572	0.84557088
207	0.3658553475	0.8461194963
208	0.3656464137	0.8461067378
209	0.3654224635	0.84625984
210	0.3651480818	0.8464767348
211	0.3648595815	0.8467829393
212	0.3645545133	0.8470381097
213	0.3642402326	0.847242246
214	0.3639959076	0.847242246
215	0.363728855	0.8473315556
216	0.3634870396	0.8474463823
217	0.3633887483	0.8475101749
218	0.3631341113	0.8476377601
219	0.3629304497	0.8476887942
220	0.362638716	0.8478163794
221	0.3624423949	0.8477015527
222	0.3621793456	0.8476887942
223	0.3619334793	0.8478674135
224	0.3616585206	0.8477781038
225	0.3614414466	0.8479439646
226	0.3611800654	0.848199135
227	0.360988563	0.8483522372
228	0.3607443641	0.8483012031
229	0.3604775991	0.8484543054
230	0.3601691314	0.8486839587
231	0.3598985197	0.8490411973
232	0.3597163794	0.8492708506
233	0.3595539396	0.8491049899
234	0.359367536	0.8492325751
235	0.3591789639	0.8493729188
236	0.3589334541	0.849500504
237	0.3587200631	0.8496280892
238	0.3585534385	0.8498194669
239	0.358318596	0.8499087766
240	0.35802958	0.8501001544
241	0.3577755691	0.8502532566
242	0.3575210264	0.8503808418
243	0.3572843395	0.8505977366
244	0.3570055708	0.8511080774
245	0.3567924849	0.8512484211
246	0.3565942313	0.8514525574
247	0.3563176176	0.851490833
248	0.3561195906	0.85151635
249	0.3558431266	0.8516694523
250	0.3556324199	0.851835313
251	0.3554175295	0.8520266908
252	0.3552084519	0.852128759
253	0.3549917737	0.8521925516
254	0.3547398454	0.8524349634
255	0.3544713326	0.8525625486
256	0.3542644081	0.8525625486
257	0.3540519862	0.8527539264
258	0.3537887355	0.8529580627
259	0.3535342504	0.8529453042
260	0.3533903219	0.8529580627
261	0.3531248524	0.8530856479
262	0.3528496044	0.8533025428
263	0.3525631527	0.8535832302
264	0.35234305	0.8538384006
265	0.3520991117	0.8539021932
266	0.3518934569	0.8538766762
267	0.3516701402	0.8539532273
268	0.3514521936	0.8541573636
269	0.3511370268	0.8543614999
270	0.3509643729	0.8544252925
271	0.3507082048	0.8545656362
272	0.3505394694	0.8547442555
273	0.3503163863	0.8546421873
274	0.3501067039	0.8548463236
275	0.3499246017	0.8551397696
276	0.3497747368	0.8552801133
277	0.3495763087	0.8553566644
278	0.3493497797	0.8554714911
279	0.3491149907	0.8555225252
280	0.3489691986	0.85573942
281	0.3487299793	0.8558414882
282	0.3485626654	0.8558159711
283	0.3483651284	0.8559307978
284	0.3481469821	0.8560839
285	0.3479870196	0.8562625193
286	0.3478735768	0.8563390704
287	0.3477224257	0.8563263119
288	0.3474846217	0.8566580334
289	0.3472779274	0.8567856186
290	0.3471060572	0.8569132038
291	0.3468641306	0.8569259623
292	0.3466488722	0.8568749282
293	0.3464668266	0.8569259623
294	0.3463128042	0.8570918231
295	0.3461533614	0.8571938912
296	0.3459849778	0.8572959594
297	0.3457369548	0.8574107861
298	0.3454952682	0.857729749
299	0.3452426281	0.8578828513
300	0.3450541571	0.8579338854
301	0.3448592018	0.8581380217
302	0.3446623042	0.8580359535
303	0.344429565	0.8580614705
304	0.344244353	0.8581252631
305	0.344052793	0.8584569847
306	0.3438258052	0.8584187091
307	0.3436300173	0.8586356039
308	0.343446516	0.8588397402
309	0.3432035815	0.8590821521
310	0.342995764	0.8590693936
311	0.3427573395	0.8591587032
312	0.342531713	0.8592990469
313	0.3422648977	0.8594011151
314	0.342068659	0.8595287003
315	0.3418970464	0.8598731803
316	0.3417373178	0.860013524
317	0.3415384244	0.8601666263
318	0.3413762678	0.86030697
319	0.3411686646	0.8606642085
320	0.3409293259	0.860676967
321	0.3407744448	0.8608300693
322	0.3405405823	0.8610086886
323	0.3403403944	0.8611873078
324	0.3401389868	0.8610979982
325	0.3399456696	0.8612638589
326	0.3397175969	0.8613659271
327	0.339529911	0.8614042027
328	0.3393060224	0.8614169612
329	0.3391381475	0.8615317879
330	0.338934053	0.8618762679
331	0.3388010532	0.8619017849
332	0.3386082767	0.8619655775
333	0.3384174563	0.861978336
334	0.3382057979	0.8622079894
335	0.3380042036	0.862271782
336	0.3377890131	0.862297299
337	0.3375850661	0.8625779865
338	0.3374035638	0.8627693642
339	0.33722086	0.8628714324
340	0.3370198105	0.8629479835
341	0.3367886596	0.8631266028
342	0.336667054	0.863254188
343	0.3364620599	0.8633179806
344	0.3362506297	0.8633817732
345	0.3361207483	0.8634710828
346	0.3358786199	0.8636624606
347	0.3356790765	0.8638155628
348	0.3354537873	0.8640324577
349	0.3353250272	0.8641472843
350	0.3351168706	0.8643641792
351	0.3349109115	0.8644407303
352	0.3346894482	0.8647214177
353	0.3345312857	0.8646448666
354	0.3343102933	0.864581074
355	0.3340915269	0.864900037
356	0.3338660561	0.8649510711
357	0.3337094937	0.8651424489
358	0.3334790343	0.8651934829
359	0.3332407379	0.8655252045
360	0.3330369989	0.8656017556
361	0.3328338548	0.8656527897
362	0.3326279473	0.8657803748
363	0.3324935747	0.8660227867
364	0.3323133463	0.8660483038
365	0.3321201955	0.8661631304
366	0.3319189013	0.8663672667
367	0.3317033506	0.8663800253
368	0.3315162979	0.8664565764
369	0.3313932549	0.866520369
370	0.3312245036	0.8666479542
371	0.3310468288	0.8667500223
372	0.3308823625	0.866864849
373	0.3306614637	0.866864849
374	0.3304651361	0.8674389824
375	0.3303600698	0.8674389824
376	0.330129814	0.8674007068
377	0.3299814801	0.8673113972
378	0.3297341582	0.8673751898
379	0.3295107181	0.867528292
380	0.3292937155	0.8677707039
381	0.3291246389	0.8679110476
382	0.3289286494	0.8680896669
383	0.3287514553	0.8683193202
384	0.3285721971	0.8682938032
385	0.32838719	0.8685234565
386	0.3281793391	0.8687148343
387	0.3279573488	0.868510698
388	0.3277122051	0.8686510417
389	0.3275500848	0.8688934536
390	0.3274280563	0.8687531099
391	0.327233746	0.868855178
392	0.3270769499	0.8690210388
393	0.3268640134	0.8692251751
394	0.326688116	0.869174141
395	0.3265170768	0.8692251751
396	0.3263046564	0.8694548285
397	0.3260962615	0.8696334477
398	0.3259365378	0.8696462063
399	0.3257361754	0.8698886181
