iter	PrecisionAt:top=5	RecallAt:top=5
156	0.6304644809	0.3126973027
157	0.6307377049	0.3128578721
158	0.6307377049	0.3130855588
159	0.631147541	0.3130677011
160	0.631284153	0.3134340697
161	0.6308743169	0.3131077187
162	0.6306010929	0.3130201185
163	0.6304644809	0.31311038
164	0.631010929	0.3134837234
165	0.631557377	0.3136439226
166	0.631557377	0.3137808057
167	0.6319672131	0.3139662715
168	0.6326502732	0.3143029879
169	0.6316939891	0.3137003994
170	0.6326502732	0.3139496618
171	0.6330601093	0.3144925613
172	0.6333333333	0.3143019621
173	0.6337431694	0.3150231473
174	0.6341530055	0.3151717351
175	0.6340163934	0.3151021376
176	0.6336065574	0.3148387408
177	0.6337431694	0.3149012314
178	0.6337431694	0.3151120243
179	0.6340163934	0.3153336637
180	0.6337431694	0.3150120562
181	0.6340163934	0.3152641379
182	0.6346994536	0.315780388
183	0.6340163934	0.3155261371
184	0.6341530055	0.315260695
185	0.6337431694	0.3151054342
186	0.6338797814	0.3151079349
187	0.6340163934	0.3155177709
188	0.6341530055	0.3153758016
189	0.6342896175	0.3154266088
190	0.6344262295	0.3157750384
191	0.6336065574	0.3152214613
192	0.6340163934	0.3155155847
193	0.6342896175	0.3156219654
194	0.6338797814	0.3154604523
195	0.6340163934	0.3154964029
196	0.6341530055	0.3155854803
197	0.6340163934	0.3156581984
198	0.6342896175	0.3158237815
199	0.6344262295	0.3157826844
200	0.6346994536	0.3158201902
201	0.6353825137	0.3161042801
202	0.6352459016	0.316089101
203	0.6351092896	0.3160918251
204	0.6355191257	0.3163351653
205	0.6355191257	0.3162716995
206	0.6355191257	0.3161306327
207	0.6356557377	0.3163639395
208	0.6359289617	0.316430026
209	0.6362021858	0.3161082704
210	0.6360655738	0.3164393942
211	0.6363387978	0.3163358092
212	0.6368852459	0.3164358834
213	0.6363387978	0.3162786089
214	0.6366120219	0.3164790722
215	0.6370218579	0.3168308312
216	0.6370218579	0.3168441375
217	0.637568306	0.3171561684
218	0.6378415301	0.3175656104
219	0.6378415301	0.3175656104
220	0.637568306	0.3175527377
221	0.6379781421	0.3176086188
222	0.6382513661	0.3178319269
223	0.6379781421	0.3173276678
224	0.6379781421	0.317474879
225	0.6386612022	0.3179262605
226	0.6386612022	0.3179262605
227	0.6385245902	0.3178639519
228	0.6390710383	0.3180723728
229	0.6386612022	0.3176734801
230	0.6390710383	0.3180207013
231	0.6392076503	0.3180240349
232	0.6390710383	0.3179371271
233	0.6392076503	0.3178704801
234	0.6394808743	0.3180049874
235	0.6398907104	0.3182194411
236	0.6397540984	0.3182070218
237	0.6397540984	0.3179448677
238	0.6400273224	0.3184302645
239	0.6404371585	0.3186516452
240	0.6409836066	0.3194138782
241	0.6409836066	0.3201803694
242	0.6409836066	0.3201889077
243	0.6416666667	0.321331294
244	0.6416666667	0.3211962802
245	0.6422131148	0.3215371143
246	0.6420765027	0.3214897103
247	0.6419398907	0.3209151459
248	0.6419398907	0.3209125703
249	0.6420765027	0.3207618953
250	0.6418032787	0.3206556415
251	0.6418032787	0.3204043898
252	0.6423497268	0.3205832599
253	0.6424863388	0.3208868422
254	0.6423497268	0.3208960088
255	0.6424863388	0.3209470166
256	0.6424863388	0.3209083874
257	0.6422131148	0.3208414613
258	0.6423497268	0.3209780733
259	0.6426229508	0.3215976571
260	0.6428961749	0.3222958963
261	0.6430327869	0.3218594968
262	0.643442623	0.3225128394
263	0.643989071	0.3230282693
264	0.643852459	0.3226139324
265	0.643715847	0.3227948444
266	0.643852459	0.3228245426
267	0.643579235	0.3225557733
268	0.6433060109	0.322315189
269	0.6431693989	0.322364621
270	0.643852459	0.3228142135
271	0.643852459	0.3229107342
272	0.643852459	0.3228912475
273	0.643852459	0.3229907222
274	0.643989071	0.3231722116
275	0.6441256831	0.3235008479
276	0.6443989071	0.3235351941
277	0.6442622951	0.3235485514
278	0.6442622951	0.3235252406
279	0.643989071	0.3237878081
280	0.643852459	0.323651196
281	0.643852459	0.323651196
282	0.643579235	0.3233924611
283	0.643989071	0.3237024255
284	0.643989071	0.3237474625
285	0.643989071	0.323483635
286	0.643852459	0.3236078626
287	0.643852459	0.3236733768
288	0.643852459	0.3237497371
289	0.643715847	0.3233461709
290	0.643579235	0.3232888967
291	0.643989071	0.3234226798
292	0.643989071	0.3233902817
293	0.643989071	0.3233902817
294	0.643989071	0.3234288864
295	0.6441256831	0.323454185
296	0.643852459	0.3232075244
297	0.6441256831	0.323597101
298	0.6441256831	0.323597101
299	0.6443989071	0.3238455591
